,iteration,index_size,count,search_first_page,search_first_page_specific_10,search_first_page_specific_100,search_first_page_specific_1000,search_first_page_specific_10000
24,24,11500000,0.0036439880000216363,0.0055189400000017486,0.01226678000011816,0.012528062000001228,0.028746225999839226,0.22796748699965974
25,25,11600000,0.00825567299989416,0.004255085999830044,0.014792325999678724,0.022684053999910248,0.028900515999794152,0.21691266300013012
26,26,11700000,0.003698931000144512,0.008632108999790944,0.01175344600005701,0.012891294000382914,0.036965020000025106,0.19626033599979564
27,27,11800000,0.003694692999943072,0.015254654999807826,0.011409870000079536,0.010725363000346988,0.041059593999762,0.20202133099974162
28,28,11900000,0.004012909999801195,0.008192995000172232,0.010391776999767899,0.012615725999694405,0.032964481999897544,0.272927159000119
29,29,12000000,0.00364836499966259,0.005985526000131358,0.008199058000172954,0.01657961399996566,0.037174663999849145,0.13128689699988172
30,30,12100000,0.0034024130000034347,0.0038169929998730368,0.011877749000177573,0.011865215999932843,0.029938255999695684,0.13490045699973052
31,31,12200000,0.003436718000102701,0.003854784000395739,0.008889593000276363,0.011968170000272949,0.024383288000080938,0.12490626799990423
32,32,12300000,0.003423864000069443,0.005372375000206375,0.009965836999981548,0.00943215400002373,0.023620564000339073,0.12861663900002895
33,33,12400000,0.0038343659998645307,0.01539732199989885,0.01467564599988691,0.012971473999641603,0.025589564999791037,0.1839056509998045
34,34,12500000,0.0034855789999710396,0.012049201000081666,0.012278593000246474,0.011080652000146074,0.03410297099981108,0.17198166599973774
35,35,12600000,0.00344631500001924,0.00415623000026244,0.01924837899969134,0.013313235999703465,0.02783965399976296,0.12426629399988087
36,36,12700000,0.003487744000267412,0.0047201080001286755,0.008469986999898538,0.01101015800031746,0.030544585000370716,0.12619679299996278
37,37,12800000,0.0034140550001211523,0.0035904569999729574,0.018378854999809846,0.013589395000053628,0.0324144599999272,0.12517909999996846
38,38,12900000,0.003829114999916783,0.013547937000112142,0.011983618000158458,0.013224970000010217,0.028012187000058475,0.16283473699968454
39,39,13000000,0.003417552999962936,0.003593592000015633,0.009848916999999346,0.009721866999825579,0.02282802499985337,0.12280022999993889
40,40,13100000,0.0035169090001545555,0.0059984109998367785,0.017436604000067746,0.007323772000290774,0.02863390500033347,0.1270348359998934
41,41,13200000,0.0033425110000280256,0.006311929999810673,0.010744270000031975,0.013832992000061495,0.02429551300019739,0.13202184900001157
42,42,13300000,0.013261349000003975,0.004089233999820863,0.014724689000104263,0.010737066000274353,0.02445450200002597,0.17855346299984376
